# Neanderthal Introgression — Adaptive Segments (Low / Medium / High)
# -----------------------------------------------------------
# Segments the genome into contiguous regions of constant introgression class
# based on per-SNP frequencies, limited to pilot-mask intervals (≤1 kb gaps bridged).
#
# Each row = one genomic segment.
# -----------------------------------------------------------
# Definitions:
# - Frequencies are SNP-level proportions (0–1).
# - introgression (per SNP):
#       'low'     → FREQ < 0.001
#       'medium'  → 0.001 ≤ FREQ < 0.1
#       'high'    → FREQ ≥ 0.1
# - Adjacent SNPs with the same class form one segment.
# - Segments are created only within bridged pilot-mask intervals.
#
# Formulas:
# - START_POS = first SNP position in segment
# - END_POS   = last SNP position in segment
# - Length    = END_POS - START_POS + 1
# -----------------------------------------------------------
# Columns:
# CHROM               → Chromosome number (1–22)
# START_POS           → Start coordinate (1-based, inclusive)
# END_POS             → End coordinate (1-based, inclusive)
# Length              → Segment length in base pairs (bp)
# introgression       → low / medium / high classification
# avg_freq            → Mean introgressed allele frequency across SNPs in segment
# SNP_total           → Total number of SNPs in segment
# SNP_0               → Count of SNPs with FREQ = 0 (no introgression)
# SNP_0_to_0.001      → (0, 0.001] (0.1%)
# SNP_0.001_to_0.01   → (0.001, 0.01] (1%)
# SNP_0.01_to_0.04    → (0.01, 0.04] (4%)
# SNP_higher_0.04     → > 0.04 (very high)
# -----------------------------------------------------------
# Adaptive segmentation per chromosome (1–22) using low/medium/high introgression states.
# Mask gaps ≤ 1 kb are bridged; segments do not cross unmasked regions.
# Output is tab-separated (.tsv) and includes comment header.
# -----------------------------------------------------------
# Additional annotations:
# avg_recomb_rate     → Mean recombination rate (cM/Mb) across the segment, from GLIMPSE recombination map.
# SNP_Neand_Specific  → Number of Neanderthal-specific mutation SNPs within the segment.
# -----------------------------------------------------------
# Merge step:
# - Adjacent segments are merged across mask gaps if compatible:
#     • same class (low/medium/high), or
#     • low–medium / medium–low.
# - All counts are summed; avg_freq is SNP_total-weighted; avg_recomb_rate is segment-length-weighted.
# - introgression is reassigned from merged avg_freq.
# - available_bp = (sum of component Lengths) / (END_POS - START_POS + 1).
# New columns added:
# available_bp        → Fraction of merged span covered by actual segments (0–1).
# (Existing columns retained/recomputed where applicable.)
#
# Additional columns added from 10 kb bin overlap:
# bin_low       → Number of overlapping 10 kb bins labeled 'low' (SNP_Neand_Specific == 0)
# bin_low_NSS   → Number of overlapping 10 kb bins labeled 'low' (SNP_Neand_Specific > 0)
# -----------------------------------------------------------
CHROM	START_POS	END_POS	Length	introgression	avg_freq	available_bp	avg_recomb_rate	SNP_total	SNP_0	SNP_0_to_0.001	SNP_0.001_to_0.01	SNP_0.01_to_0.04	SNP_higher_0.04	SNP_Neand_Specific	bin_low	bin_low_NSS
chr1	2721576	2723868	2293	medium	0.00877333	1.0	1.013194666666667	21	0	0	21	0	0	1	0	0
chr1	2724026	2753189	29164	high	0.0117374907834101	1.0	1.281499857142857	217	0	0	0	217	0	25	0	0
chr1	2753227	2861439	108213	low	1.1420551470588234e-05	1.0	1.703371913043478	816	483	333	0	0	0	32	4	6
chr1	2861522	2861522	1	high	0.0169076	1.0		1	0	0	0	1	0	1	0	0
chr1	2861575	2897904	36330	low	0.000295841232258	0.9976052848885218	9.84826629171044	248	93	89	66	0	0	12	0	2
chr1	2897968	2958414	60447	high	0.1295019869918699	1.0	0.8554254499999999	492	0	0	0	0	492	31	0	0
chr1	2958561	2958561	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	2958627	2960192	1566	high	0.1795186363636363	1.0		11	0	0	0	0	11	1	0	0
chr1	2960196	2960196	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	2960372	2964397	4026	high	0.1795562962962963	1.0	0.168927	27	0	0	0	0	27	3	0	0
chr1	2965128	2989482	24355	low	0.0008772372142857	0.8769862451242044	0.7873028722222222	112	0	76	36	0	0	2	0	1
chr1	2989543	3023251	33709	high	0.0910971571428571	1.0	5.244533105263158	210	0	0	0	25	185	17	0	0
chr1	3023286	3044710	21425	low	0.0007069571653543	0.9845974329054844	2.7046245253496095	127	114	0	13	0	0	4	0	1
chr1	3044871	3049855	4985	high	0.0199037268292682	1.0	2.81305625	41	0	0	0	41	0	6	0	0
chr1	3050085	3051119	1035	medium	0.00824081	1.0	2.849078	9	0	0	9	0	0	1	0	0
chr1	3051350	3053957	2608	high	0.0322371615384615	1.0		13	0	0	0	13	0	3	0	0
chr1	3053968	3057788	3821	medium	0.0065234199999999	1.0	7.65917575	25	0	0	25	0	0	1	0	0
chr1	3057822	3062228	4407	high	0.0375873303030303	1.0	9.942087	33	0	0	0	22	11	14	0	0
chr1	3062327	3120632	58306	medium	0.0019895633502537	0.9937056220629096	6.07719282476243	394	76	0	318	0	0	29	0	1
chr1	3120703	3147621	26919	high	0.0254032747311828	1.0	1.0227324716981132	186	0	0	0	143	43	6	0	0
chr1	3147742	3275477	127736	medium	0.0017716793789863	0.9875759378718608	3.5835712636809944	809	85	268	456	0	0	54	1	3
chr1	3275672	3275672	1	high	0.0111031	1.0		1	0	0	0	1	0	1	0	0
chr1	3275673	3297804	22132	medium	0.0029047027199999	0.9951201879631304	3.178595685040562	125	23	0	102	0	0	11	0	0
chr1	3297966	3324062	26097	high	0.0182105379487179	1.0	1.464596846153846	195	0	0	0	195	0	12	0	0
chr1	3324209	3331733	7525	medium	0.0013446199999999	1.0	4.3015375	73	0	0	73	0	0	0	0	0
chr1	3331788	3336121	4334	high	0.0135772807692307	1.0	7.726552666666667	26	0	0	0	26	0	6	0	0
chr1	3336200	3348629	12430	medium	0.00842719	1.0	8.625231100000002	90	0	0	90	0	0	2	0	0
chr1	3348815	3450985	102171	high	0.0550541460725075	1.0	2.6041365490196084	662	0	0	0	305	357	64	0	0
chr1	3451005	3499246	48242	low	0.0004203243909348	0.9927656398988434	5.556857495133519	353	309	0	44	0	0	7	1	2
chr1	3499296	3499296	1	high	0.0110099	1.0		1	0	0	0	1	0	1	0	0
chr1	3499408	3515434	16027	medium	0.0057213281021897	0.982903849753541	6.852009434571192	137	54	0	83	0	0	8	0	0
chr1	3515540	3587505	71966	high	0.0303643428571428	1.0	2.627164081632653	504	0	0	0	473	31	31	0	0
chr1	3587538	3603695	16158	medium	0.0036340422565217	0.9491273672484218	8.504848847338144	92	0	16	76	0	0	1	0	0
chr1	3603891	3603947	57	high	0.0576191	1.0		2	0	0	0	1	1	2	0	0
chr1	3603975	3606626	2652	medium	0.00415369	1.0	16.993975	13	0	0	13	0	0	1	0	0
chr1	3606642	3672156	65515	high	0.031257199142857	0.9761733954056324	2.342640607732849	350	0	0	0	350	0	19	0	0
chr1	3672909	3672909	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	3672923	3673003	81	high	0.0304514666666666	1.0		3	0	0	0	3	0	1	0	0
chr1	3673496	3681831	8336	low	1.3550839285714283e-05	1.0	23.690322428571427	56	53	3	0	0	0	1	0	0
chr1	3681985	3699890	17906	high	0.0138278951612903	1.0	0.900815	124	0	0	0	124	0	12	0	0
chr1	3699984	3699984	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	3700119	3759940	59822	high	0.0151632255079006	1.0	0.2238576595744679	443	0	0	0	443	0	35	0	0
chr1	3760061	3766441	6381	low	0.000146444	1.0	0.4661162499999999	60	0	60	0	0	0	1	0	0
chr1	3766455	3771894	5440	high	0.0153637508474576	1.0	0.079397	59	0	0	0	59	0	3	0	0
chr1	3772055	3845187	73133	low	8.056888703703705e-05	1.0	1.4827970175438596	540	66	474	0	0	0	11	2	5
chr1	3995644	4006432	10789	high	0.0245201661764705	1.0	13.872748812499998	68	0	0	0	66	2	10	0	0
chr1	4006671	4014743	8073	medium	0.0014378099999999	1.0	18.031701161290332	63	0	0	63	0	0	0	0	0
chr1	4015040	4015040	1	high	0.0202093	1.0		1	0	0	0	1	0	1	0	0
chr1	4015046	4049021	33976	low	0.000138481088785	0.9901989639745704	1.9936773963826464	214	77	136	1	0	0	10	0	2
chr1	4049070	4049070	1	high	0.0274649	1.0		1	0	0	0	1	0	1	0	0
chr1	4049110	4105289	56180	medium	0.0021555360445433	0.9964044143823424	1.837829526962227	449	1	68	380	0	0	35	0	1
chr1	4105295	4105295	1	high	0.198485	1.0		1	0	0	0	0	1	1	0	0
chr1	4105296	4161869	56574	low	2.224830188679245e-06	1.0	2.9273367692307692	371	370	1	0	0	0	4	3	2
chr1	4162248	4289935	127688	high	0.0618824630051813	1.0	2.4471285893719807	965	0	0	0	96	869	73	0	0
chr1	4291146	4309483	18338	low	0.000359454	1.0	5.633805935483872	93	0	93	0	0	0	0	1	0
chr1	4309762	4379209	69448	high	0.0250456936090225	1.0	8.363706566176472	532	0	0	0	363	169	24	0	0
chr1	4379260	4388684	9425	low	0.0009718559999998	1.0	31.00349436666667	67	0	67	0	0	0	1	0	0
chr1	4388691	4388691	1	high	0.0613734	1.0		1	0	0	0	0	1	1	0	0
chr1	4388758	4462997	74240	medium	0.0029635529194244	0.9982489224137931	1.0770893696064243	695	206	213	276	0	0	21	1	3
chr1	4463229	4469924	6696	high	0.0766139963636363	1.0	0.5636368181818182	55	0	0	0	0	55	7	0	0
chr1	4470166	4471943	1778	low	0.0	1.0	0.5648705714285714	11	11	0	0	0	0	0	0	0
chr1	4471954	4534468	62515	high	0.1241532720887245	1.0	1.5170724563758389	541	0	0	0	0	541	41	0	0
chr1	4534501	4534501	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	4534520	4589368	54849	high	0.1122522396929824	1.0	2.1481066789473684	456	0	0	0	0	456	33	0	0
chr1	4589389	4589389	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	4589406	4658350	68945	high	0.1155571374531835	1.0	1.3206832641509432	534	0	0	0	0	534	21	0	0
chr1	4658354	4674627	16274	low	0.0001065049999999	1.0	3.4201273684210527	87	0	87	0	0	0	1	0	1
chr1	4674645	4674645	1	high	0.0171206	1.0		1	0	0	0	1	0	1	0	0
chr1	4674792	4676210	1419	low	0.0001198179999999	1.0	8.7231155	14	0	14	0	0	0	1	0	0
chr1	4676541	4696727	20187	high	0.1074928594594594	1.0	1.4291301590909091	185	0	0	0	0	185	13	0	0
chr1	4696853	4702912	6060	low	0.0008254119999999	1.0	3.5758279999999996	39	0	39	0	0	0	0	0	0
chr1	4702950	4702950	1	high	0.306135	1.0		1	0	0	0	0	1	1	0	0
chr1	4703106	4741033	37928	low	0.0006058738387096	0.9436564016030372	1.6839031382414105	310	155	0	155	0	0	7	1	1
chr1	4741137	4748190	7054	high	0.0238468976190476	1.0	0.8897453076923079	42	0	0	0	42	0	4	0	0
chr1	4748305	4751878	3574	medium	0.00917272	1.0	28.291633727272725	24	0	0	24	0	0	2	0	0
chr1	4751901	4751901	1	high	0.0202758	1.0		1	0	0	0	1	0	1	0	0
chr1	4751995	4754637	2643	medium	0.00997151	1.0	20.12518725	24	0	0	24	0	0	1	0	0
chr1	4754651	4759830	5180	high	0.0116531203703703	1.0	2.0613943333333333	54	0	0	0	54	0	3	0	0
chr1	4760057	4794867	34811	low	4.879656612244898e-05	0.9900606130246188	2.918439797009945	245	195	48	2	0	0	20	1	2
chr1	4794912	4811694	16783	high	0.0214981096296296	1.0	0.9475897	135	0	0	0	135	0	5	0	0
chr1	4811999	4941735	129737	medium	0.0010883354020725	0.9999306288876728	2.1441012718189247	965	656	128	181	0	0	19	4	4
chr1	4941854	4941854	1	high	0.028743	1.0	0.286463	1	0	0	0	1	0	1	0	0
chr1	4942146	4953528	11383	low	0.000852038	1.0	0.2437285294117647	67	0	67	0	0	0	0	0	0
chr1	4953813	4953813	1	high	0.183335	1.0		1	0	0	0	0	1	1	0	0
chr1	4953818	4996627	42810	low	0.0	1.0	1.286437518181818	295	295	0	0	0	0	0	3	0
chr1	4996639	4996639	1	high	0.0313657	1.0		1	0	0	0	1	0	1	0	0
chr1	4996661	5034174	37514	low	2.924848484848485e-06	1.0	9.87597732	264	263	1	0	0	0	6	2	1
chr1	5034218	5034218	1	high	0.0406582	1.0		1	0	0	0	0	1	1	0	0
chr1	5034386	5048624	14239	low	0.0	1.0	9.80862375	103	103	0	0	0	0	2	0	0
chr1	5048637	5076930	28294	high	0.0250171633093525	1.0	0.780722622222222	139	0	0	0	139	0	10	0	0
chr1	5077202	5093992	16791	medium	0.0029795056338028	0.9399082841998688	11.114999796495786	71	1	0	70	0	0	1	0	0
chr1	5094205	5135010	40806	high	0.0525629256281407	1.0	1.9497678125	199	0	0	0	0	199	12	0	0
chr1	5135179	5313445	178267	low	0.0007622391799035	0.9924719662079914	2.401723697379422	1244	318	654	272	0	0	51	2	11
chr1	5313568	5313568	1	high	0.0428016	1.0		1	0	0	0	0	1	1	0	0
chr1	5313907	5325333	11427	medium	0.0042601899999999	1.0	5.927678730769231	83	0	0	83	0	0	0	0	0
chr1	5325384	5337423	12040	high	0.0961253034482758	1.0	0.5399362321428571	145	0	0	0	0	145	15	0	0
chr1	5337463	5473983	136521	low	3.404559710494572e-06	0.9962936105068084	2.767090282167599	829	828	0	1	0	0	4	11	2
chr1	5474039	5474041	3	high	0.029595	1.0		2	0	0	0	2	0	2	0	0
chr1	5474079	5591133	117055	low	0.0	1.0	2.7264831132075473	592	592	0	0	0	0	2	9	2
chr1	5591204	5617020	25817	high	0.0487650985294117	1.0	0.4652744772727274	136	0	0	0	0	136	12	0	0
chr1	5617073	5631820	14748	medium	0.00907953	1.0	6.8464970487804875	89	0	0	89	0	0	0	0	0
chr1	5631998	5636893	4896	high	0.0385733184210526	1.0	5.710911062499999	38	0	0	0	36	2	2	0	0
chr1	5637079	5676124	39046	medium	0.0010891698165137	0.9971315883829328	3.225779070637889	218	154	0	64	0	0	1	2	0
chr1	5676239	5676239	1	high	0.0123812	1.0		1	0	0	0	1	0	1	0	0
chr1	5676334	5681459	5126	medium	0.0090928499999999	1.0	7.679179578947369	45	0	0	45	0	0	0	0	0
chr1	5681666	5707224	25559	high	0.0297480489583333	1.0	3.211926726027398	192	0	0	0	192	0	19	0	0
chr1	5707499	6162229	454731	low	0.0	1.0	3.633954572425829	2860	2860	0	0	0	0	2	45	0
chr1	6162355	6165419	3065	high	0.1142816333333332	1.0	0.6188595	30	0	0	0	0	30	4	0	0
chr1	6165491	7164515	999025	low	0.0002784234482758	0.9898811341057532	1.0368018142529876	5133	4935	0	198	0	0	7	94	1
chr1	7164764	7164764	1	high	0.0621589	1.0	0.507774	1	0	0	0	0	1	1	0	0
chr1	7165717	7549219	383503	low	5.900696653867251e-06	0.9964824264738475	2.234794179798061	1823	1816	0	7	0	0	3	35	2
chr1	7549220	7549220	1	high	0.170221	1.0	4.455474	1	0	0	0	0	1	1	0	0
chr1	7549304	7560318	11015	low	0.0	1.0	1.73379155	111	111	0	0	0	0	0	1	0
chr1	7560340	7560340	1	high	0.306028	1.0		1	0	0	0	0	1	1	0	0
chr1	7560647	7900395	339749	low	0.0	0.9887946690056484	2.580752047510822	1598	1598	0	0	0	0	1	32	1
chr1	7900947	7900947	1	high	0.0274516	1.0		1	0	0	0	1	0	1	0	0
chr1	7900979	7977640	76662	low	0.0	1.0	2.4144965249999997	559	559	0	0	0	0	0	6	0
chr1	7978031	7978031	1	high	0.0102111	1.0		1	0	0	0	1	0	1	0	0
chr1	7978033	8240623	262591	low	1.3487755102040816e-06	0.9986442795069138	1.1498931666917436	1372	1371	0	1	0	0	1	25	1
chr1	8240711	8240711	1	high	0.219387	1.0		1	0	0	0	0	1	1	0	0
chr1	8240877	8376879	136003	low	7.024272829763246e-06	0.9992647221017184	2.9152930552396343	887	886	0	1	0	0	1	11	1
chr1	8376882	8376882	1	high	0.0150039	1.0		1	0	0	0	1	0	1	0	0
chr1	8377109	8990597	613489	low	0.0	0.9965264250866764	0.4510243591848848	2562	2562	0	0	0	0	1	60	1
chr1	8990745	8990745	1	high	0.0729025	1.0		1	0	0	0	0	1	1	0	0
chr1	8990849	9013422	22574	low	0.0	1.0	5.827813545454545	175	175	0	0	0	0	0	1	0
chr1	9013585	9013585	1	high	0.127619	1.0		1	0	0	0	0	1	1	0	0
chr1	9013800	9381504	367705	low	0.0	0.9959995104771489	4.31073341037981	2266	2266	0	0	0	0	1	35	1
chr1	9381550	9381550	1	high	0.204542	1.0	1.788118	1	0	0	0	0	1	1	0	0
chr1	9381729	9976346	594618	low	0.0001483454743284	0.9988110013487652	2.222775635952356	2941	2630	0	311	0	0	35	51	2
chr1	9976862	10093371	116510	high	0.0270779243902439	1.0	0.1739894528301886	492	0	0	0	492	0	29	0	0
chr1	10093457	10101810	8354	low	0.0	1.0	0.07299825	34	34	0	0	0	0	1	0	0
chr1	10102209	10227502	125294	high	0.0257614333955223	1.0	0.1460074772727272	536	0	0	0	536	0	53	0	0
chr1	10227505	10235687	8183	medium	0.00126474	1.0	1.322009111111111	55	0	0	55	0	0	1	0	0
chr1	10235712	10235712	1	high	0.169782	1.0		1	0	0	0	0	1	1	0	0
chr1	10235736	10236989	1254	medium	0.00615065	1.0	3.6115545	9	0	0	9	0	0	0	0	0
chr1	10237187	10255822	18636	high	0.0280447782608695	0.9175252200042928	0.5680822396566401	92	0	0	0	92	0	8	0	0
chr1	10255824	10255824	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	10255828	10299496	43669	high	0.0281495090196078	1.0	0.15054115	255	0	0	0	255	0	30	0	0
chr1	10299790	10300981	1192	low	0.0	1.0		13	13	0	0	0	0	1	0	0
chr1	10302273	10380006	77734	high	0.0285917375302663	1.0	0.1137843866666666	413	0	0	0	413	0	65	0	0
chr1	10380877	10380877	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	10381142	10384439	3298	high	0.0291012181818181	1.0	0.012165	11	0	0	0	11	0	1	0	0
chr1	10384711	10384711	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	10385047	10408826	23780	high	0.0288602140350877	1.0	0.0161045	114	0	0	0	114	0	9	0	0
chr1	10408850	10408850	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	10408901	10481439	72539	high	0.0288205292957746	1.0	0.3004903333333333	355	0	0	0	355	0	17	0	0
chr1	10481475	10727192	245718	low	0.0	1.0	1.1993302264150942	1150	1150	0	0	0	0	2	22	1
chr1	10727345	10750666	23322	high	0.0120575115384615	1.0	1.3712628275862069	156	0	0	0	156	0	11	0	0
chr1	10750734	10816087	65354	low	0.0	0.9617467943813692	10.577751431660555	260	260	0	0	0	0	0	5	0
chr1	10816217	10823826	7610	high	0.0264358199999998	1.0	1.9718648	20	0	0	0	20	0	2	0	0
chr1	10823855	10877129	53275	low	0.0002582745384615	0.9967339277334584	4.187679457885915	260	228	0	32	0	0	5	3	1
chr1	10877429	10886544	9116	high	0.0227382776315789	1.0	2.8732347500000004	76	0	0	0	76	0	5	0	0
chr1	10886573	10890972	4400	low	0.0001065049999999	1.0	4.0675349999999995	38	0	38	0	0	0	1	0	0
chr1	10891303	10928291	36989	high	0.0445377479166666	1.0	1.784496	240	0	0	0	0	240	19	0	0
chr1	10928948	11501431	572484	low	7.796656824276275e-05	0.9993956162967	1.7184945109204517	2834	2450	323	61	0	0	16	51	6
chr1	11501602	11501602	1	high	0.36655	1.0	6.060196	1	0	0	0	0	1	1	0	0
chr1	11501805	11760996	259192	low	8.207548316831685e-06	1.0	1.4909238275862071	1515	1349	166	0	0	0	27	18	7
chr1	11761028	11761819	792	high	0.0466795285714285	1.0	1.181329	7	0	0	0	0	7	3	0	0
chr1	11761824	11846252	84429	low	0.0	1.0	2.7558018024691355	439	439	0	0	0	0	3	6	1
chr1	11846270	11978255	131986	high	0.0528668591208791	1.0	1.1880020427807487	910	0	0	0	86	824	86	0	0
chr1	11978534	12158312	179779	low	0.0001358196389228	0.9989431468636492	3.284857129032808	817	707	101	9	0	0	15	11	5
chr1	12158567	12160946	2380	high	0.0824651285714285	1.0	3.221068	7	0	0	0	0	7	2	0	0
chr1	12161483	12161483	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	12161619	12176257	14639	high	0.082412047761194	1.0	3.4538388205128205	67	0	0	0	0	67	20	0	0
chr1	12177834	12198305	20472	medium	0.0079479199999999	1.0	7.464991592592594	114	0	0	114	0	0	2	0	0
chr1	12198362	12198362	1	high	0.0125276	1.0		1	0	0	0	1	0	1	0	0
chr1	12198635	12206652	8018	medium	0.0031418899999999	1.0	2.5888285499999997	29	0	0	29	0	0	0	0	0
chr1	12206712	12264878	58167	high	0.0358715722846441	1.0	2.900118430232558	267	0	0	0	203	64	21	0	0
chr1	12265076	12274514	9439	medium	0.00998482	1.0	14.266327099999998	39	0	0	39	0	0	2	0	0
chr1	12274919	12277138	2220	high	0.0385015142857142	1.0	8.908298	7	0	0	0	7	0	3	0	0
chr1	12277321	12576509	299189	medium	0.0095040444774687	0.9932885233080092	0.5867825228826467	1043	3	0	1040	0	0	98	0	0
chr1	12576558	12578090	1533	high	0.0139487875	1.0	0.742157	8	0	0	0	8	0	2	0	0
chr1	12578464	12592282	13819	medium	0.0032350810958904	1.0	1.7830336249999998	73	0	0	73	0	0	6	0	0
chr1	12592287	12592294	8	high	0.0125675333333333	1.0		3	0	0	0	3	0	1	0	0
chr1	12592375	12592375	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	12592449	12597242	4794	high	0.012547975	1.0	2.2203025	32	0	0	0	32	0	1	0	0
chr1	12597490	12604390	6901	low	3.99393e-05	1.0	20.38890072727273	33	0	33	0	0	0	0	0	0
chr1	12604575	12604575	1	high	0.0418164	1.0		1	0	0	0	0	1	1	0	0
chr1	12604691	12621594	16904	low	0.0	1.0	2.54959347826087	142	142	0	0	0	0	2	0	1
chr1	12621789	12642243	20455	high	0.038044754032258	1.0	1.1618124545454545	124	0	0	0	120	4	7	0	0
chr1	12642315	12684837	42523	low	0.0004120050717703	0.9941208287279824	3.7631374563279856	209	190	0	19	0	0	2	2	1
chr1	12685041	12685041	1	high	0.0146178	1.0		1	0	0	0	1	0	1	0	0
chr1	12685073	12772972	87900	low	0.0002545187809523	0.9953469852104664	4.1775958208086905	441	384	37	20	0	0	7	6	1
chr1	12773158	12782074	8917	high	0.0150796934782608	1.0	8.641658249999999	46	0	0	0	46	0	5	0	0
chr1	12782328	12782328	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
chr1	12782527	12790632	8106	high	0.0215363319148936	1.0	0.3134427241379311	47	0	0	0	47	0	1	0	0
chr1	12790645	12790645	1	low	0.0	1.0		1	1	0	0	0	0	0	0	0
